id,age_years,bench_press_max_lbs,height_cm,weight_kg
1,38.62032943,122.3448911,161.0401054,54.07658265
2,35.26405757,133.9891188,151.7274894,24.98297109
3,55.00560303,85.90033996,511,55.13407371
4,21.77767108,216.9653487,147.2229352,65.85491419
5,49.39280202,95.66171196,145.1975145,67.43110148
6,50.41263925,93.72649538,135.5889971,71.65633331
7,,65.23452121,153.9050973,75.19762489
8,42.81147599,110.3676033,153.5002854,45.37703341
9,54.61942587,86.50768339,161.2319472,34.95980103
10,29.40755742,160.6729839,150.9708409,48.50193307
11,59.87476396,78.91471611,163.9120072,51.52011916
12,77.10508971,61.28000133,132.2649132,60.69731705
13,36.78370728,128.4536103,142.0535858,73.41699628
14,44.6986894,105.7077973,132.5880467,49.56350307
15,69.09092251,68.38814461,139.2202502,59.11053939
16,62.82445473,75.20956641,164.6976588,76.49542148
17,31.70901485,149.0112519,,76.37101189
18,41.95416518,112.622906,170.4546558,34.9778459
19,42.08483269,112.2732276,139.6712466,27.29641096
20,64.2494654,,141.4736296,47.66778783
21,53.89934731,87.6633992,132.18383,56.48855728
22,65.62385764,72.00125335,169.1131304,49.1101854
23,54.06936279,87.38775078,166.3287937,99.88534795
24,68.1811392,69.30069012,166.598033,54.14529776
25,46.14679719,102.3906379,153.687698,61.54087414
26,29.48515424,160.2501368,150.5840919,64.96008754
27,69.61020785,67.87797574,182.4220361,96.07995551
28,77.09089038,61.29128846,145.3765019,79.90089106
29,,86.23918379,154.3059152,49.32024515
30,36.60749169,129.0719408,156.6971888,22.05543241
31,50.7165016,93.16494337,136.4937599,40.1960489
32,80.20984002,58.90798434,163.3799934,57.56393678
33,41.36236278,114.2342865,140.2867431,87.47752029
34,81.9285664,57.67219185,,
35,64.58336732,73.16125183,129.0431946,29.36665908
36,77.59338711,60.89436453,156.3599832,54.32744059
37,30.08728543,157.0430809,157.6962659,68.62627066
38,60.16918698,78.52856648,160.1121291,62.9306768
39,84.30079715,56.04929205,168.2087122,62.30038942
40,26.72935429,176.771947,142.9379249,46.01502269
41,40.15425522,117.671215,149.5831219,64.10643083
42,75.96307663,62.20127212,156.7023778,49.94807002
43,70.09815744,67.40548072,168.1625241,60.76072294
44,73.42933112,64.34758328,157.1571289,97.79185148
45,58.42273188,80.87605368,187.2480576,75.98170261
46,50.91253207,92.80622683,173.9082613,91.95201943
47,,67.22723009,145.8712538,57.41388809
48,77.24321084,61.17042454,153.3830545,38.00070039
49,31.91683115,148.0410125,146.7689441,80.74750057
50,38.57475509,122.4894361,130.9179304,64.89580318
51,40.14549982,117.6968781,151.2896436,84.60183602
52,31.3114977,150.9030339,152.7852495,88.53930975
53,33.79151823,139.8279878,158.0290567,54.25318264
54,36.41740624,129.7456488,160.8668049,55.34888179
55,57.6185106,82.00489654,159.397318,42.96649746
56,34.9771738,135.0881014,146.1657824,65.85188377
57,26.27364444,,166.6412898,78.13079426
58,33.40369443,141.4514197,138.8733194,42.37980786
59,58.03754458,81.41281707,179.4923951,58.14491118
60,32.16437325,146.9016655,181.9453294,61.34003259
61,49.06797893,96.29497898,155.5707262,23.93140803
62,61.35578001,77.00985954,152.0216713,52.91808668
63,82.35839717,57.37119908,141.3039505,84.09635705
64,63.3186775,74.62253141,153.7980742,58.36186126
65,47.82491745,98.79787048,151.0841842,83.08559419
66,41.97084346,112.5781521,157.1980269,45.09653936
67,48.53400756,97.35441677,182.7722933,44.08377394
68,47.84273645,98.76107326,155.4220647,64.11074916
69,34.42120347,137.2700406,119.4490104,150
70,64.5214977,73.23140609,164.0289949,57.18205574
71,45.61988135,103.5732637,153.9309707,41.0188512
72,39.9576332,118.2502471,138.6328099,59.99219394
73,56.36183939,83.83331792,170.486204,79.27758531
74,82.78893866,57.07284181,146.0874244,57.64036419
75,62.33919448,75.7950121,167.7949343,46.00941783
76,59.85474703,78.94110717,143.4312979,83.64511477
77,75.39575385,62.66931171,157.6212369,38.27180206
78,69.9101855,67.5867181,163.1749049,56.10268577
79,73.87981561,63.95522188,167.77743,52.08706856
80,24.13118867,195.8046935,158.401796,91.13390721
81,48.78820761,96.84717336,179.9230032,79.55399828
82,58.15967645,81.24185499,139.6506333,39.77542616
83,79.62136802,59.3433662,,40.79955107
84,83.84921318,56.3511549,157.1244737,51.46097454
85,20.53277282,230.1199182,159.2528862,51.70267381
86,56.72180586,83.30129706,159.1462758,91.53258547
87,67.13204927,70.38366997,173.0712667,43.62184648
88,34.66574099,136.3017165,148.3815291,45.76743968
89,38.14934717,123.8553305,150.1333539,48.24796064
90,67.14226901,70.37295686,177.6614671,81.35913446
91,78.76594316,59.98785529,133.843705,77.89597977
92,32.05772346,147.3903787,196.7088636,86.83194703
93,41.99524528,112.5127373,147.801237,58.38434427
94,48.03604267,98.36363982,151.7500372,56.15236085
95,78.73057101,60.01480669,52,98.29189678
96,44.09243281,107.1612451,175.1933529,73.03381412
97,52.66980321,89.70984723,156.9728353,75.26644636
98,26.39101888,179.0381804,151.1943869,52.37791351
99,20.01976496,236.0167569,149.12362,57.37776204
100,69.71096814,67.77986487,142.3971535,59.3822844
101,39.9368105,118.3119017,161.982431,56.74601427
102,44.09507245,107.1548302,151.2871754,66.85960322
103,20.75053455,227.7049773,156.1326843,64.43157856
104,42.21357451,111.9308198,142.2792706,53.26120646
105,56.25553162,83.99174026,146.5165529,32.14290207
106,63.88697621,73.95873588,129.0859399,65.46052214
107,83.06482205,56.88328565,157.3863867,63.28480206
108,65.0312401,72.65738733,173.658922,77.00726028
109,18.77354881,251.6839009,165.5333288,85.94701967
110,53.88065263,87.6938153,171.9414548,63.35563421
111,74.050288,63.80798951,178.7901263,70.35884967
112,72.06007174,65.57029275,173.4715353,47.01113023
113,23.4224871,201.7292177,166.965569,53.09785741
114,34.00692322,138.9422962,173.0044904,170
115,82.72132089,57.1194941,155.1430448,60.20267935
116,20.52404587,230.2177665,154.4522878,57.73788626
117,79.39923096,59.50939251,149.0842237,63.30580664
118,66.65718076,70.88508614,133.3678233,65.02143489
119,31.45200635,150.2288899,124.8172799,59.54123913
120,74.29345001,63.59914635,137.8958671,81.78960304
121,44.57637727,105.9978466,162.2291825,58.72747631
122,44.31105138,106.6325409,166.9619949,89.877623
123,49.66131143,95.14448701,141.9819224,56.58860972
124,57.10501327,82.74229755,173.4424413,84.71066618
125,41.60994032,113.5545969,142.6996291,54.5407844
126,19.90775886,237.344647,168.6593957,79.97266228
127,84.67089162,55.80430192,161.1505201,82.90210456
128,82.15641676,57.51224538,162.9101336,76.81132226
129,54.96062881,85.97063211,150.5523605,64.15256342
130,24.83091515,190.2869859,153.8314863,63.47169968
131,33.94031492,139.2149723,155.045985,58.88008653
132,75.62654355,62.47806363,162.2673114,49.17323087
133,67.46350619,70.03786591,124.4557675,39.21790479
134,51.31992172,92.0695091,142.0947731,47.47355116
135,56.85471271,83.10656716,131.8907397,54.74216306
136,19.08428681,247.585883,174.773156,87.65125717
137,49.63270207,95.19933034,150.5379664,83.40628668
138,20.84011183,226.7262306,179.5468993,83.53075148
139,49.03134589,96.36692434,157.6448463,71.85728423
140,60.20964945,78.47579322,152.1007763,74.85600608
141,63.10770228,74.87200182,165.3399313,69.67932532
142,23.83132293,198.2684727,155.809665,62.91762123
143,27.62011458,171.0709775,188.9068193,96.08225891
144,78.86805943,59.91018461,138.6684058,64.74614035
145,26.20968353,180.276881,136.2275806,40.65514693
146,66.8338071,70.69775321,174.9513781,85.59485412
147,81.67527081,57.85104785,150.807453,77.59793661
148,20.9048463,226.0241444,136.7291652,74.90450666
149,19.31315297,244.6519223,153.506647,69.6001045
150,31.33785485,150.7761148,174.1745201,53.10060455
151,51.84077952,91.14446278,174.9580909,73.74554784
152,80.06804711,59.01230479,129.6817803,62.6795
153,27.27291334,173.248818,163.9978863,65.7114235
154,29.3360366,161.0647023,144.9158572,65.2261236
155,58.64403432,80.57085524,161.4958116,64.47353316
156,72.66373846,65.02555608,133.5817592,31.28727055
157,74.5065409,63.41725093,160.237648,69.57592623
158,70.80117197,66.73618344,153.5875468,80.81543012
159,19.274398,245.1438431,172.8852107,84.30046488
160,64.77186229,72.94834258,155.5687035,58.39593517
161,72.61123873,65.07257117,168.1544008,66.99852304
162,56.08280409,84.25042358,146.0590531,62.49790519
163,50.16421315,94.19065312,172.34867,69.13811017
164,28.81179788,163.9953195,165.5753676,62.2884012
165,23.98016754,197.0378227,143.7550872,49.90320066
166,28.89971912,163.4963987,144.3110699,40.38024343
167,,238.7472223,164.6554868,82.48737812
168,65.54517487,72.08768624,150.6374708,62.45791854
169,68.98821786,68.48995592,152.2735112,67.61229541
170,75.45081022,62.62358199,181.407643,71.12033575
171,47.29680993,99.90102941,156.8990075,43.15462701
172,45.94814194,102.8333204,148.6237226,59.53037566
173,57.23851585,,125.0161793,47.72268069
174,73.27282792,64.48502309,123.1263364,48.21985106
175,71.14032824,66.4180236,138.3530008,52.61763642
176,39.8522222,118.5630246,146.5937994,56.63512822
177,82.18144021,57.49473346,146.6962427,53.04806923
178,61.75231385,76.5153515,143.507043,57.52883096
179,,96.96030991,173.3575498,63.21032383
180,58.60346619,80.62663025,164.6502958,41.34917692
181,37.34436976,126.5250968,151.0263093,55.47069751
182,66.09466653,71.48837036,,68.30243168
183,79.86762865,59.16038926,160.8345483,70.69156911
184,63.22094559,74.73788878,159.3380946,65.67403285
185,30.45797948,155.1317612,151.137603,45.11429297
186,41.32049991,114.3500202,149.337732,58.8599024
187,26.27580859,179.8232006,115.4940401,48.9311535
188,25.24378666,187.1747715,168.2996517,64.67087747
189,37.96286439,124.4637378,145.5587355,46.17972826
190,74.15939336,63.71411342,111.2684048,41.88681988
191,84.5156633,55.90679663,165.9735171,54.41122846
192,47.28800542,99.91962988,156.1875711,62.09580941
193,31.57182623,270,182.1969224,60.52423461
194,82.57939055,57.21766616,155.0900854,61.7490957
195,62.24593651,75.90856954,172.4621133,78.06566909
196,37.97382758,124.4278047,155.2451072,60.50299432
197,25.99056645,181.7967303,154.7049052,53.34797075
198,58.18335728,81.20878926,174.5016396,76.18742593
199,26.05276704,181.3626933,161.951747,71.97736779
200,70.82494509,66.71378275,170.7639895,78.08010043
201,42.76293675,110.4928791,140.5644482,30.7856616
